
Values for C_in, SA_in and S:
Clock Cycle |     C    |     X     |    Y    |     Y.Q     | (C-X)_prev = Y.Q | Status |
         31 | 0 1 1 0 | 0 0 0 0 0 | 1 1 1 0 1 0 | 1 1 1 0 0 1 | -7 = -7 | OK |
         32 | 0 0 1 1 | 1 1 0 0 0 | 1 1 0 1 0 1 | 1 1 1 0 1 0 | -6 = -6 | OK |
         33 | 1 0 0 1 | 0 0 1 0 1 | 0 0 1 1 0 0 | 1 1 0 1 0 1 | -11 = -11 | OK |
         34 | 0 1 1 1 | 1 0 0 1 1 | 1 0 1 1 0 0 | 0 0 1 1 0 0 | 12 = 12 | OK |
         35 | 0 1 1 1 | 0 0 1 0 0 | 1 1 1 1 0 1 | 1 0 1 1 0 0 | -20 = -20 | OK |
         36 | 1 1 1 1 | 0 0 0 1 0 | 0 0 0 0 1 1 | 1 1 1 1 0 1 | -3 = -3 | OK |
         37 | 0 1 1 0 | 0 0 1 0 1 | 1 1 1 1 1 1 | 0 0 0 0 1 1 | 3 = 3 | OK |
         38 | 1 1 0 0 | 1 1 1 0 1 | 1 1 1 1 0 1 | 1 1 1 1 1 1 | -1 = -1 | OK |
         39 | 1 1 0 0 | 1 1 0 0 1 | 1 0 1 1 0 1 | 0 0 0 0 0 1 | 1 = 1 | OK |
         40 | 0 1 0 1 | 1 1 1 1 1 | 1 1 1 0 1 0 | 1 1 1 1 0 1 | -3 = -3 | OK |
         41 | 0 1 0 0 | 0 1 0 1 0 | 0 0 0 1 1 0 | 1 1 1 0 1 0 | -6 = -6 | OK |
         42 | 0 1 0 1 | 1 1 0 1 1 | 1 1 0 1 1 0 | 0 0 0 1 1 0 | 6 = 6 | OK |
         43 | 0 1 1 0 | 0 0 1 0 0 | 0 0 1 1 1 0 | 1 1 0 1 1 0 | -10 = -10 | OK |
         44 | 1 1 0 1 | 1 0 0 1 0 | 1 1 0 1 0 1 | 1 1 1 1 1 0 | -2 = -2 | OK |
         45 | 0 0 1 0 | 0 0 1 1 0 | 1 1 0 1 0 0 | 1 1 0 1 0 1 | -11 = -11 | OK |
         46 | 1 0 0 0 | 0 0 0 0 0 | 0 0 1 0 0 0 | 0 0 0 1 0 0 | 4 = 4 | OK |
         47 | 1 1 0 1 | 1 0 1 1 0 | 1 1 1 0 0 1 | 0 0 1 0 0 0 | 8 = 8 | OK |
         48 | 1 1 1 1 | 1 1 0 1 1 | 1 1 1 1 0 0 | 1 1 1 0 0 1 | -7 = -7 | OK |
         49 | 0 1 0 1 | 1 1 0 1 1 | 1 1 0 1 1 0 | 1 1 1 1 0 0 | -4 = -4 | OK |
